what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1327192639613
os,sysinfo,,,"win32",1327192639613
arch,sysinfo,,,"x86",1327192639613
ws,sysinfo,,,"win32",1327192639613
locale,sysinfo,,,"en_US",1327192639613
processors,sysinfo,,,"2",1327192639623
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1327192639623
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1327192639623
java.specification.name,sysinfo,,,"Java Platform API Specification",1327192639623
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327192639623
java.specification.version,sysinfo,,,"1.6",1327192639623
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1327192639623
java.version,sysinfo,,,"1.6.0_29",1327192639623
java.vm.info,sysinfo,,,"mixed mode, sharing",1327192639623
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1327192639623
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1327192639623
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1327192639623
java.vm.specification.version,sysinfo,,,"1.0",1327192639623
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1327192639623
java.vm.version,sysinfo,,,"20.4-b02",1327192639623
started,bundle,org.eclipse.jem,2.0.301.v201001252130,"org.eclipse.jem",1327192639713
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1327192639903
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1327192641497
started,bundle,org.eclipse.jst.jee,1.0.201.v201002021055,"org.eclipse.jst.jee",1327192643051
started,bundle,org.eclipse.jpt.core,2.2.1.v200908270220,"org.eclipse.jpt.core",1327192643673
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1327192644038
opened,editor,org.eclipse.ajdt.ui,2.0.3.e35x-20100129-1100,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1327192644139
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327192644599
started,bundle,org.jboss.tools.common.model.ui,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.model.ui",1327192644699
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192649836
started,bundle,org.jboss.tools.common.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.common.verification",1327192658147
started,bundle,org.jboss.tools.jsf.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf.verification",1327192661805
started,bundle,org.jboss.tools.jst.web.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.verification",1327192662017
started,bundle,org.jboss.tools.struts.verification,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts.verification",1327192662085
started,bundle,org.jboss.tools.struts,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.struts",1327192662809
started,bundle,org.jboss.tools.jsf,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jsf",1327192662889
started,bundle,org.jboss.tools.jst.web.tiles,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.jst.web.tiles",1327192663725
started,bundle,org.jboss.tools.hibernate.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.hibernate.xml",1327192663955
started,bundle,org.jboss.tools.seam.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.xml",1327192663975
started,bundle,org.jboss.tools.seam.pages.xml,3.1.1.v201006011046R-H111-GA,"org.jboss.tools.seam.pages.xml",1327192664145
started,bundle,org.jboss.tools.cdi.xml,1.0.1.v201006011046R-H111-GA,"org.jboss.tools.cdi.xml",1327192664425
started,bundle,org.jboss.tools.esb.core,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.core",1327192664685
started,bundle,org.jboss.tools.smooks.ui,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.smooks.ui",1327192665007
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.301.v200908101600,"org.eclipse.wst.common.frameworks.ui",1327192665687
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1327192665707
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1327192667143
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1327192667363
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1327192667573
started,bundle,org.eclipse.jst.j2ee,1.1.302.v201004131604,"org.eclipse.jst.j2ee",1327192667763
started,bundle,org.jboss.ide.eclipse.archives.core,3.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.archives.core",1327192668927
started,bundle,org.jboss.ide.eclipse.archives.webtools,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.archives.webtools",1327192669017
started,bundle,org.jboss.ide.eclipse.as.wtp.core,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.wtp.core",1327192669137
started,bundle,org.jboss.tools.bpel.runtimes,0.4.0.v201003031622,"org.jboss.tools.bpel.runtimes",1327192669137
started,bundle,org.jboss.tools.esb.project.core,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.project.core",1327192669227
started,bundle,org.eclipse.pde.build,3.5.2.R35x_20100114,"org.eclipse.pde.build",1327192670531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192707567
activated,editor,org.eclipse.ajdt.ui,2.0.3.e35x-20100129-1100,"org.eclipse.ajdt.internal.ui.editor.CompilationUnitEditor",1327192723557
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327192726325
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1327192862711
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1327192863823
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1327192868654
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1327192869314
started,bundle,org.drools.eclipse,5.1.0.v201006011046R-H111-31764,"org.drools.eclipse",1327192871423
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192873700
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192875363
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1327192875383
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192884333
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192886013
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.cleanAction",1327192886033
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327192900171
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327192900421
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1327192905027
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1327192907159
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327192913545
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327192913575
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1327192914996
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192919291
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192945696
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.export",1327192945810
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192955860
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192980512
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1327192980642
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327192981044
stopped,bundle,org.jboss.ide.eclipse.as.ssh,2.1.1.v201006011046R-H111-GA,"org.jboss.ide.eclipse.as.ssh",1327192982292
stopped,bundle,org.eclipse.jsch.ui,1.1.200.I20090430-0408,"org.eclipse.jsch.ui",1327192982292
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20090508-2000,"org.eclipse.team.cvs.ssh2",1327192982293
stopped,bundle,org.eclipse.team.cvs.ssh,3.2.100.I20090508-2000,"org.eclipse.team.cvs.ssh",1327192982293
stopped,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1327192982298
stopped,bundle,com.atlassw.tools.eclipse.checkstyle,4.4.3,"com.atlassw.tools.eclipse.checkstyle",1327192982298
stopped,bundle,net.sf.eclipsecs.ui,5.1.0.201002232103,"net.sf.eclipsecs.ui",1327192982488
stopped,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1327192982488
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1327192982488
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1327192982488
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20090819_35x,"org.eclipse.help.webapp",1327192982488
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1327192982488
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1327192982488
stopped,bundle,org.jboss.tools.ws.creation.ui,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.ws.creation.ui",1327192982488
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.409.v200911241856,"org.eclipse.jst.ws.creation.ui",1327192982488
stopped,bundle,org.jboss.tools.esb.ui,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.ui",1327192982488
stopped,bundle,org.jboss.tools.esb.core,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.core",1327192982488
stopped,bundle,org.jboss.tools.esb.project.ui,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.project.ui",1327192982498
stopped,bundle,org.jboss.tools.esb.project.core,1.3.1.v201006011046R-H111-GA,"org.jboss.tools.esb.project.core",1327192982498
stopped,bundle,org.jboss.tools.ws.ui,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.ws.ui",1327192982498
stopped,bundle,org.jboss.tools.ws.creation.core,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.ws.creation.core",1327192982498
stopped,bundle,org.jboss.tools.ws.core,1.1.1.v201006011046R-H111-GA,"org.jboss.tools.ws.core",1327192982498
